StreamerDataID,policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,eq_site_deductible,hu_site_deductible,fl_site_deductible,fr_site_deductible,point_latitude,point_longitude,line,construction,point_granularity
,325671,FL,MARION COUNTY,233074.8,233074.8,233074.8,233074.8,233074.8,351882.35,0,0,0,0,29.08395,-82.26003,Residential,Wood,1
,545584,FL,MARION COUNTY,174825,174825,174825,174825,174825,165745.29,0,0,0,0,29.08333,-82.26065,Residential,Wood,1
,898520,FL,MARION COUNTY,466149.6,466149.6,466149.6,466149.6,466149.6,662000.49,0,0,0,0,29.08376,-82.26257,Residential,Masonry,1
,493615,FL,MARION COUNTY,0,424538.08,0,0,424538.08,354026.55,0,0,0,0,29.083563,-82.263031,Residential,Masonry,1
,646090,FL,MARION COUNTY,407862,407862,407862,407862,407862,434740.11,0,20393.1,0,0,29.08312,-82.26084,Residential,Masonry,1
,422022,FL,MARION COUNTY,466149.6,466149.6,466149.6,466149.6,466149.6,581575.7,0,0,0,0,29.08273,-82.26249,Residential,Masonry,1
,506897,FL,MARION COUNTY,407862,407862,407862,407862,407862,575795.1,0,20393.1,0,0,29.0821,-82.26285,Residential,Masonry,1
,696648,FL,MARION COUNTY,349612.2,349612.2,349612.2,349612.2,349612.2,277236.88,0,0,0,0,29.08149,-82.26304,Residential,Wood,3
,176126,FL,MARION COUNTY,349612.2,349612.2,349612.2,349612.2,349612.2,457169.34,0,0,0,0,29.08504,-82.26398,Residential,Wood,1
,634525,FL,MARION COUNTY,349612.2,349612.2,349612.2,349612.2,349612.2,448457.36,0,0,0,0,29.08468,-82.26511,Residential,Wood,1
,105238,FL,MARION COUNTY,349612.2,349612.2,349612.2,349612.2,349612.2,538137.08,0,0,0,0,29.08446,-82.26643,Residential,Wood,1
,896485,FL,MARION COUNTY,423775.8,423775.8,423775.8,423775.8,423775.8,664283.82,0,0,0,0,29.078701,-82.266068,Residential,Masonry,1
,531417,FL,MARION COUNTY,407862,407862,407862,407862,407862,449344.83,0,20393.1,0,0,29.08574,-82.26397,Residential,Masonry,1
,769168,FL,MARION COUNTY,407862,407862,407862,407862,407862,531705.22,0,20393.1,0,0,29.08532,-82.26615,Residential,Masonry,1
,264062,FL,MARION COUNTY,407862,407862,407862,407862,407862,437483.39,0,20393.1,0,0,29.084898,-82.266945,Residential,Masonry,1
,354391,FL,MARION COUNTY,349612.2,349612.2,349612.2,349612.2,349612.2,362981.37,0,0,0,0,29.08423,-82.263969,Residential,Wood,1
,603663,FL,MARION COUNTY,349612.2,349612.2,349612.2,349612.2,349612.2,428140.34,0,0,0,0,29.084227,-82.264259,Residential,Wood,1
,685118,FL,MARION COUNTY,349612.2,349612.2,349612.2,349612.2,349612.2,492256.77,0,0,0,0,29.08314,-82.26402,Residential,Wood,1
,425631,FL,MARION COUNTY,233074.8,233074.8,233074.8,233074.8,233074.8,188724.39,0,0,0,0,29.08317,-82.26578,Residential,Wood,1
,456839,FL,MARION COUNTY,233074.8,233074.8,233074.8,233074.8,233074.8,264315.21,0,0,0,0,29.08251,-82.26404,Residential,Wood,1
,574253,FL,MARION COUNTY,407862,407862,407862,407862,407862,556845.83,0,20393.1,0,0,29.08143,-82.26506,Residential,Masonry,3
,521775,FL,MARION COUNTY,349612.2,349612.2,349612.2,349612.2,349612.2,372525.78,0,0,0,0,29.0856,-82.25864,Residential,Wood,3
,284411,FL,MARION COUNTY,407862,407862,407862,407862,407862,601270.16,0,20393.1,0,0,29.08381,-82.26627,Residential,Masonry,1
,121178,FL,MARION COUNTY,407862,407862,407862,407862,407862,674461.81,0,20393.1,0,0,29.08189,-82.26406,Residential,Masonry,3
,664750,FL,MARION COUNTY,233074.8,233074.8,233074.8,233074.8,233074.8,216655.15,0,0,0,0,29.080721,-82.26535,Residential,Wood,1
,997811,FL,MARION COUNTY,174825,174825,174825,174825,174825,308781.51,0,0,0,0,29.080576,-82.266106,Residential,Wood,1
,761397,FL,MARION COUNTY,174825,174825,174825,174825,174825,193321.49,0,0,0,0,29.080502,-82.267044,Residential,Wood,1
,668053,FL,MARION COUNTY,287431.2,287431.2,287431.2,287431.2,287431.2,328554.56,0,0,0,0,29.08641,-82.25901,Residential,Wood,1
,986997,FL,MARION COUNTY,405140.4,405140.4,405140.4,405140.4,405140.4,595896.71,0,0,0,0,29.086134,-82.259605,Residential,Masonry,1
,519185,FL,MARION COUNTY,466149.6,466149.6,466149.6,466149.6,466149.6,511489.17,0,0,0,0,29.086336,-82.261803,Residential,Masonry,1
,681891,FL,MARION COUNTY,286561.8,286561.8,286561.8,286561.8,286561.8,380811.98,0,0,0,0,29.08643,-82.263466,Residential,Wood,1
,657785,FL,MARION COUNTY,342883.8,342883.8,342883.8,342883.8,342883.8,334538.01,0,0,0,0,29.086355,-82.263756,Residential,Wood,1
,509205,FL,MARION COUNTY,233074.8,233074.8,233074.8,233074.8,233074.8,295886.59,0,0,0,0,29.0865,-82.26518,Residential,Wood,1
,941713,FL,MARION COUNTY,340540.2,340540.2,340540.2,340540.2,340540.2,441579.16,0,0,0,0,29.08633,-82.267128,Residential,Wood,1
,317132,FL,MARION COUNTY,284898.6,284898.6,284898.6,284898.6,284898.6,386322.5,0,0,0,0,29.08672,-82.25919,Residential,Wood,1
,232268,FL,MARION COUNTY,452692.8,452692.8,452692.8,452692.8,452692.8,354324.92,0,0,0,0,29.08667,-82.26093,Residential,Masonry,1
,133073,FL,MARION COUNTY,233074.8,233074.8,233074.8,233074.8,233074.8,346462.19,0,0,0,0,29.086878,-82.262939,Residential,Wood,1
,483962,FL,MARION COUNTY,233074.8,233074.8,233074.8,233074.8,233074.8,313748.51,0,0,0,0,29.08724,-82.26351,Residential,Wood,1
,832190,FL,MARION COUNTY,349612.2,349612.2,349612.2,349612.2,349612.2,360217.34,0,0,0,0,29.0879,-82.26329,Residential,Wood,1
,430316,FL,MARION COUNTY,339066,339066,339066,339066,339066,469794.93,0,16953.3,0,0,29.08743,-82.26522,Residential,Wood,1
